AMilk, PMilk
animal,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,plant
animal,
animal,plant
animal,
animal,
animal,
animal,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
,plant
,plant
,plant
,plant
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
animal,
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
,plant
,plant
,plant
,plant
animal,
,plant
animal,
,plant
animal,
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
animal,
,plant
animal,
,plant
,plant
,plant
,plant
animal,
animal,
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
animal,
,plant
,plant
animal,
,plant
,plant
,plant
animal,
animal,
,plant
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
,plant
,plant
animal,
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
animal,
,plant
animal,
animal,
,plant
,plant
,plant
,plant
animal,
,plant
animal,
animal,
animal,